link,price,bedrooms,bathrooms,receptions,area,address,date,description,title,image
https://www.zoopla.co.uk//new-homes/details/54779759,"£825,000",1,1,1,546 sq. ft*,"Southbank Place, Casson Square, South Bank SE1",17th Apr 2020,One Bed Apartment | 11th Floor | 550 Sq ft| North Facing Balcony | 5 * Private Resident Facilities | 24 Hr Concierge | Incredible Location Epicentre of South Bank | On-site entrance to Waterloo Underground Station | High Specification | Q2 2020 Completion,1 bed flat for sale,https://lid.zoocdn.com/354/255/c1a55d37301fbdee98079477ac5f433986ca1fdd.jpg
https://www.zoopla.co.uk//new-homes/details/54778581,"£725,000",3,2,1,NA,"Barry Road, London SE22",17th Apr 2020,"Video tour - guide price £700,000 - £725,000. An incredibly spacious & beautifully refurbished split-level 3 bed garden Flat forming the two lower floors of this attractive house conversion. Located less than 100 meters from Peckham Rye Park & just ...",3 bed flat for sale,https://lid.zoocdn.com/354/255/051145f202e2e5589492b23e9333e1127f6659c6.jpg
https://www.zoopla.co.uk//for-sale/details/54778580,"£350,000",1,1,NA,NA,"Anglesey Road, Enfield EN3",17th Apr 2020,No onward chain - 3/4 Bedroom extended semi detached property. The property is a blank canvas ideal for anyone looking to move straight in and make their own! Video tour available.,1 bed semi-detached house for sale,https://lid.zoocdn.com/354/255/bdcb465942ad7aff38524e4c89ae1e8bcabfacd2.jpg
https://www.zoopla.co.uk//new-homes/details/54778577,"£625,000",2,2,1,NA,"Barry Road, London SE22",17th Apr 2020,"Video tour - guide price £600,000 - £625,000. A beautifully refurbished split-level 2 bed Apartment forming the two upper floors of this attractive period house conversion. Located less than 100 meters away from the beautiful Peckham Rye Park & just ...",2 bed flat for sale,https://lid.zoocdn.com/354/255/546e6387588220783bf6f49ab64c2e076febb607.jpg
https://www.zoopla.co.uk//new-homes/details/54778508,"£655,000",2,2,1,NA,"18.08.07 Marco Polo, Royal Wharf E16",17th Apr 2020,"Offered brand new direct from the developer fantastic 8th floor two bedroom apartment in Marco Polo, Royal Wharf, E16 with a large 180 sqft balcony offering spectacular views towards the River Thames. This superb apartment offers 773 sqft of internal spac",2 bed flat for sale,https://lid.zoocdn.com/354/255/d2d9f2a07de26bdf3d60ee3a140e720095c6a5f5.jpg
https://www.zoopla.co.uk//new-homes/details/54778500,"£945,000",3,2,1,NA,"18.13.05 Marco Polo, Royal Wharf E16",17th Apr 2020,"Offered brand new direct from the developer fantastic 13th floor three bedroom apartment in Marco Polo, Royal Wharf, E16 with exceptionally large wraparound terrace offering spectacular river views. This superb apartment offers spacious 1,083 sqft of inte",3 bed flat for sale,https://lid.zoocdn.com/354/255/5401980d6e2d7dda938a56972afb54057d865413.jpg
https://www.zoopla.co.uk//for-sale/details/54778481,"£3,950,000",6,5,2,"4,261 sq. ft*","Martineau Drive, Twickenham TW1",17th Apr 2020,"A beautiful 6 bedroom Semi Detached House with a garage in the highly sought-after area of Twickenham. The property is in excellent condition, and is in walking distance from some great parks. Perfect for first time buyers.",6 bed semi-detached house for sale,https://lid.zoocdn.com/354/255/41fa35c8e21f6e986f4d3cb7db5bba669b35bd24.jpg
https://www.zoopla.co.uk//for-sale/details/54778476,"£399,950",3,1,2,NA,"Raleigh Road, Feltham TW13",17th Apr 2020,A three bedroom semi-detached house situated in A quiet and popular residential location and within walking distance to feltham town and mainline train station. Offered to the market with no onward chain. An early viewing is highly recommended. ...,3 bed semi-detached house for sale,https://lid.zoocdn.com/354/255/e7841f1c8199ba2e9c78057882720f027a321c0f.jpg
https://www.zoopla.co.uk//for-sale/details/54778352,"£1,599,000",5,3,3,273 sq. m*,"Dunstan Road, London NW11",17th Apr 2020,"Four/five bedroom house, unfurnished. Available now. This spacious four/five bedroom semi detached property arranged over three floors is situated in a sought after location of Golders Green, walking distance of the tube and park. It comprises a ...",5 bed semi-detached house for sale,https://lid.zoocdn.com/354/255/88d949e10e62e4bde4c21d5b651ceff410495a53.jpg
https://www.zoopla.co.uk//for-sale/details/54778341,"£352,500",3,1,2,NA,"Evelyn Way, Epsom, Surrey KT19",17th Apr 2020,*****75% Shared ownership***** Situated within the highly popular Manor Park development on the western side of Epsom town centre with easy access to mainline railway station and local amenities. The property warrants immediate viewing to not only ...,3 bed end terrace house for sale,https://lid.zoocdn.com/354/255/d4da5848b28c2d728ccd581f9b063ad662a9e91b.jpg
https://www.zoopla.co.uk//for-sale/details/54778291,"£420,000",1,1,1,NA,"Barrier Point Road, London E16",17th Apr 2020,"An exceptionally large one bedroom apartment in a prestigious development. This property benefits from concierge services, a gym, on site amenities and partial river views. Completion aimed for Q2 2020 Royal Wharf is 0.2 miles to Pontoon Dock DLR ...",1 bed flat for sale,https://lid.zoocdn.com/354/255/ec3399a3f3f6e38ef82a535bc92714d285fdfbb5.jpg
https://www.zoopla.co.uk//for-sale/details/54778275,"£400,000",2,NA,NA,NA,"Borwick Avenue, London E17",17th Apr 2020,"Offers in excess: £400,000. This two bedroom ground floor garden flat is located in this fantastic Central spot and is filled with natural light throughout. Inside the flat has undergone extensive no expense spared refurbishment by its current owner ...",2 bed flat for sale,https://lid.zoocdn.com/354/255/248ae0a9d26f1cf5483a774d34c6b3fbddc641a1.jpg
https://www.zoopla.co.uk//for-sale/details/54778266,"£435,000",1,NA,NA,NA,"Coningham Road, London W12",17th Apr 2020,"Spacious and bright top floor one bedroom property located on a popular residential road, close to the amenities and transport links of Shepherds Bush. Benefits include a large reception room, separate eat-in kitchen and wooden flooring throughout.",1 bed flat for sale,https://lid.zoocdn.com/354/255/e2378cb3e4005a98fec45b20134c0f6770258e23.jpg
https://www.zoopla.co.uk//for-sale/details/54778255,"£420,000",1,1,1,NA,"Barrier Point Road, London E16",17th Apr 2020,"An exceptionally large one bedroom apartment in a prestigious development. This property benefits from concierge services, a gym, on site amenities and partial river views. Completion aimed for Q2 2020 Royal Wharf is 0.2 miles to Pontoon Dock DLR ...",1 bed flat for sale,https://lid.zoocdn.com/354/255/ec3399a3f3f6e38ef82a535bc92714d285fdfbb5.jpg
https://www.zoopla.co.uk//new-homes/details/54776161,"£940,000",1,1,1,731 sq. ft*,"Park Drive, Canary Wharf, London E14",17th Apr 2020,"One Park Drive's 58 storeys are made up of three typologies, each with its own distinct characteristics. The Bay - the spiralling top of the building includes double-height terraces focused on maximising light and the views across London.",1 bed flat for sale,https://lid.zoocdn.com/354/255/9bc6fcc71582f3ffe128437010885ba64f8b6990.jpg
https://www.zoopla.co.uk//for-sale/details/54132902,"£600,000",3,1,2,NA,"Romney Road, New Malden KT3",17th Apr 2020,"A spacious 3 bedroom link detached house ideally located in this residential road on the Painters Estate within easy reach of the A3, local shops and amenities, Malden Manor train station into London Waterloo and good bus routes. This property is also ...",3 bed semi-detached house for sale,https://lid.zoocdn.com/354/255/e8d02fcd4be1b1c1ad3303a32c578b480d6e9d66.jpg
https://www.zoopla.co.uk//new-homes/details/54776414,"£1,485,000",2,2,1,"1,114 sq. ft*","Park Drive, Canary Wharf E14",17th Apr 2020,"Designed by world-renowned architectural practice Stanton Williams, 10 Park Drive is the first of the new residential developments to be built on the Canary Wharf Estate. It sits adjacent to South Dock, linked to the water by landscaped gardens.",2 bed flat for sale,https://lid.zoocdn.com/354/255/21823fbeb93b4a87b9d85beb1d46aa4aed789a9f.jpg
https://www.zoopla.co.uk//for-sale/details/54778205,"£275,000",NA,NA,NA,NA,"The Broadway, Elm Park, Hornchurch RM12",17th Apr 2020,**For Sale By Public Auction6th May 2020 12:00 pm. To inspect the legal documents for this property go to our website to download the legal pack** A Vacant Plot of Land Measuring Approximately 440sqm. Offered With Planning Permission for Construction ...,Land for sale,https://lid.zoocdn.com/354/255/ef0938b918c46e96e66015a654db4a02ef807f93.jpg
https://www.zoopla.co.uk//new-homes/details/54776291,"£910,000",1,1,1,656 sq. ft*,"Park Drive, Canary Wharf E14",17th Apr 2020,"Designed by world-renowned architectural practice Stanton Williams, 10 Park Drive is the first of the new residential developments to be built on the Canary Wharf Estate.",1 bed flat for sale,https://lid.zoocdn.com/354/255/964c8adef59ce5c3370e1da0ef642957d4fbc493.jpg
https://www.zoopla.co.uk//new-homes/details/54776327,"£1,320,000",2,2,1,922 sq. ft*,"Park Drive, Canary Wharf E14",17th Apr 2020,"Designed by world-renowned architectural practice Stanton Williams, 10 Park Drive is the first of the new residential developments to be built on the Canary Wharf Estate.",2 bed flat for sale,https://lid.zoocdn.com/354/255/7ae7257492c09ac9fd2efff4c6e3313072baaafd.jpg
https://www.zoopla.co.uk//new-homes/details/54776436,"£2,400,000",3,3,1,"1,335 sq. ft*","Park Drive, Canary Wharf E14",17th Apr 2020,"Designed by world-renowned architectural practice Stanton Williams, 10 Park Drive is the first of the new residential developments to be built on the Canary Wharf Estate.",3 bed flat for sale,https://lid.zoocdn.com/354/255/9cc4c43be6d506d5ce8897a765e835a288a213f7.jpg
https://www.zoopla.co.uk//new-homes/details/54776452,"£2,400,000",3,3,1,"1,518 sq. ft*","Park Drive, Canary Wharf E14",17th Apr 2020,"Designed by world-renowned architectural practice Stanton Williams, 10 Park Drive is the first of the new residential developments to be built on the Canary Wharf Estate.",3 bed flat for sale,https://lid.zoocdn.com/354/255/b2a1ea07953e906e038e3c44c70ccaeca8bd9ece.jpg
https://www.zoopla.co.uk//new-homes/details/54776380,"£880,000",1,1,1,656 sq. ft*,"Park Drive, Canary Wharf E14",17th Apr 2020,"Designed by world-renowned architectural practice Stanton Williams, 10 Park Drive is the first of the new residential developments to be built on the Canary Wharf Estate.",1 bed flat for sale,https://lid.zoocdn.com/354/255/b2a1ea07953e906e038e3c44c70ccaeca8bd9ece.jpg
https://www.zoopla.co.uk//new-homes/details/54775685,"£1,285,000",2,2,1,948 sq. ft*,"Park Drive, Canary Wharf E14",17th Apr 2020,"One Park Drive's 58 storeys are made up of three typologies, each with its own distinct characteristics. The Cluster - the heart of the building with the lower levels connected with the parks and the water and the higher floors with the sky.",2 bed flat for sale,https://lid.zoocdn.com/354/255/6eccb695d9aa5b76ff0cb648683b0c3f0d17e0fd.jpg
https://www.zoopla.co.uk//new-homes/details/54776173,"£1,480,000",2,2,1,"1,141 sq. ft*","One Park Drive, Canary Wharf, London E14",17th Apr 2020,"One Park Drive's 58 storeys are made up of three typologies, each with its own distinct characteristics. The Bay - the spiralling top of the building includes double-height terraces focused on maximising light and the views across London.",2 bed flat for sale,https://lid.zoocdn.com/354/255/a51ef47c3364d097585d71c1bb289a8ff102255b.jpg
https://www.zoopla.co.uk//new-homes/details/54776187,"£1,915,000",3,3,NA,"1,472 sq. ft*","Park Drive, Canary Wharf, London E14",17th Apr 2020,"One Park Drive's 58 storeys are made up of three typologies, each with its own distinct characteristics. The Bay - the spiralling top of the building includes double-height terraces focused on maximising light and the views across London.",3 bed flat for sale,https://lid.zoocdn.com/354/255/e8b9c175c10fd745bb9c4c6689dd1e7d6a922986.jpg
https://www.zoopla.co.uk//new-homes/details/54775611,"£965,000",1,1,1,679 sq. ft*,"Park Drive, Canary Wharf E14",17th Apr 2020,"One Park Drive's 58 storeys are made up of three typologies, each with its own distinct characteristics. The Loft - some of the largest apartments, with high ceilings, wrap-around terraces and a connection to green spaces and the waterfront.",1 bed flat for sale,https://lid.zoocdn.com/354/255/c65a2f2c94e83655a193e5f19b6abf2c969f9fbe.jpg
https://www.zoopla.co.uk//new-homes/details/54775627,"£1,485,000",2,2,1,960 sq. ft*,"Park Drive, Canary Wharf E14",17th Apr 2020,"One Park Drive's 58 storeys are made up of three typologies, each with its own distinct characteristics. The Loft - some of the largest apartments, with high ceilings, wrap-around terraces and a connection to green spaces and the waterfront.",2 bed flat for sale,https://lid.zoocdn.com/354/255/9e1b967e633a580b77305f014a656a207a34e9f1.jpg
https://www.zoopla.co.uk//new-homes/details/54775676,"£850,000",1,1,1,772 sq. ft*,"Park Drive, Canary Wharf E14",17th Apr 2020,"One Park Drive's 58 storeys are made up of three typologies, each with its own distinct characteristics. The Cluster - the heart of the building with the lower levels connected with the parks and the water and the higher floors with the sky.",1 bed flat for sale,https://lid.zoocdn.com/354/255/ef2686541b33824c705c98671bda75cffb1ea7d7.jpg
https://www.zoopla.co.uk//new-homes/details/54778117,"£1,295,000",3,3,2,175 sq. m*,"Northiam, Woodside Park, London N12",17th Apr 2020,A brand new deceptive Mews style detached residence planned over three floors having been interior designed and completed to a high standard of finish with wonderful bright rooms and flexible accommodation. The property features a large open plan ...,3 bed detached house for sale,https://m.zoocdn.com/www/_b/static/images/icons/noimage-150x113-2d4a9b9442.png
https://www.zoopla.co.uk//for-sale/details/54778119,"£1,600,000",5,3,3,261 sq. m*,"Friary Road, North Finchley, London N12",17th Apr 2020,Statons are delighted to offer this attractive and well proportioned 5 double bedroom detached family dwelling offering well planned living accommodation with three reception rooms and an impressive kitchen/dining room. The first floor has five ...,5 bed detached house for sale,https://lid.zoocdn.com/354/255/11c02ec1c837df7f6103dc432d555dec199c323b.jpg
https://www.zoopla.co.uk//for-sale/details/49837302,"£325,000",3,1,1,NA,"Russell Hill Road, Purley CR8",17th Apr 2020,A larger than average three bedroom first floor flat presented in good condition offering spacious and well proportioned accomodation throughout. Situated within a character building in the heart of Purley Town Centre this beautiful property is one ...,3 bed flat for sale,https://lid.zoocdn.com/354/255/9487e610cf96b56f16086fa4c382b7a195438135.jpg
https://www.zoopla.co.uk//for-sale/details/54778025,"£450,000",2,1,1,NA,"Thornbury Road, Osterley, Isleworth TW7",17th Apr 2020,"*Offers In Excess Of* A simply stunning two bedroom Victorian house for sale, offering a through reception room, open plan kitchen and a beautiful rear garden. Presented in excellent condition with period features throughout. Thornbury Road is ...",2 bed property for sale,https://lid.zoocdn.com/354/255/a995501b467474505e3196c8196a3b6fe88d1918.jpg
https://www.zoopla.co.uk//for-sale/details/54778007,"£725,000",2,1,1,NA,"Carlton Vale, London NW6",17th Apr 2020,Ashley Milton are pleased to offer this larger than average two bedroom top floor flat within a period conversion. The property is in good condition and offers good natural light and spacious accommodation. Located within close proximity to the open ...,2 bed flat for sale,https://lid.zoocdn.com/354/255/e72747137cebfdd79d5b12ca3f37d49d3ecd7665.jpg
https://www.zoopla.co.uk//new-homes/details/54777947,"£795,000",2,2,NA,NA,"Bond Mansions, Portobello Square, London W10",17th Apr 2020,"Bond Mansions is the first of three apartment buildings being built in the second phase of this prestigious development in Ladbroke Grove. Comprising a selection of one and two bedroom apartments for market sale, with views across the park.",2 bed flat for sale,https://lid.zoocdn.com/354/255/8eef85a26fb1de032ebc61856ec2e93213803092.jpg
https://www.zoopla.co.uk//new-homes/details/54777921,"£595,000",1,1,NA,551 sq. ft*,"Bond Mansions, Portobello Square, London W10",17th Apr 2020,"Bond Mansions is the first of three apartment buildings being built in the second phase of this prestigious development in Ladbroke Grove.Comprising a selection of one and two bedroom apartments for market sale, with views across the park.",1 bed flat for sale,https://lid.zoocdn.com/354/255/273b97e788b7fd520974d97f0fc23bccd4706de4.jpg
https://www.zoopla.co.uk//for-sale/details/54777931,"£1,500,000",2,2,1,NA,"Faulkner House, Fulham Reach, London W6",17th Apr 2020,"With a quiet view over the communal landscaped gardens and facing the River Thames this two bedroom apartment, located in the premier Faulkner House building or Fulham Reach, is available for chain free sale through Prime London. The apartment is ...",2 bed flat for sale,https://lid.zoocdn.com/354/255/6817b9798feab62807c850e402b4822c4342efb5.jpg
https://www.zoopla.co.uk//new-homes/details/54777920,"£378,000",1,1,1,NA,"Bunton Street, Woolwich, London SE18",17th Apr 2020,"This stunning 1 bedroom apartment is located in this brand new development in Woolwich. Nearby Crossrail station coming December 2020 and DLR station is 5 minutes walk. Facilities including 24/7 concierge, gym, roof garden.",1 bed flat for sale,https://m.zoocdn.com/www/_b/static/images/icons/noimage-150x113-2d4a9b9442.png
https://www.zoopla.co.uk//new-homes/details/54777915,"£698,000",3,2,1,NA,"Bunton Street, Woolwich, London SE18",17th Apr 2020,"This beautiful and brand new 3 bedroom apartment located in the heart of Woolwich. The apartment benefits from bespoke light oak veneer entrance doors, Karndean brushed oak flooring to the hallway and living spaces and underfloor heating throughout.",3 bed flat for sale,https://lid.zoocdn.com/354/255/005d3453bf6d36f0d7805f7b61ea7d0d2bbcf84d.png
https://www.zoopla.co.uk//new-homes/details/54777911,"£1,530,000",NA,NA,NA,NA,"The Ram Quarter, 11 Armoury Way, Wandsworth, London SW18",17th Apr 2020,"A stunning duplex two bedroom plus mezzanine apartment. The Living/Kitchen is over 23 feet with a vaulted ceiling, picture windows and views over The Ram Quarter development.",Studio for sale,https://lid.zoocdn.com/354/255/44bc0ae4838a78c8efe9f72b569614942daf8d78.jpg
https://www.zoopla.co.uk//for-sale/details/54777892,"£1,250,000",3,1,2,136 sq. m*,"Brondesbury Road, Queens Park, London NW6",17th Apr 2020,"No upper chain - As sole agents Cameron's Stiff are proud to offer For Sale this stunning newly refurbished three bedroom flat, set with in a substantial character property on a wide tree lined street within walking distance to Queens Park station ...",3 bed flat for sale,https://lid.zoocdn.com/354/255/79b5b1329a1181b6cb8d3642dc8890e84637e0f6.jpg
https://www.zoopla.co.uk//new-homes/details/54777886,"£640,000",NA,1,1,NA,"Wardian, East Tower, London E14",17th Apr 2020,"Sub penthouse level studio apartment with west facing views towards the City, located on the 50th floor of Wardian's East Tower. Encompassing a generous c.389 sq ft, the property comprises an open plan living area with stylish divider to create an in",Studio for sale,https://lid.zoocdn.com/354/255/b5fff494eeef9022c4675640b44574011ca4bd48.jpg
https://www.zoopla.co.uk//for-sale/details/53336476,"£800,000",2,2,1,NA,"Albert Embankment SE1, Albert Embankment, London,",17th Apr 2020,"This superb 2 bedroom ground floor flat situated on the banks of the River Thames moments from the Houses of Parliament offers a desirable living space in a great location. The property is situated close to the local amenities of Vauxhall, while the ...",2 bed flat for sale,https://lid.zoocdn.com/354/255/c78905845bb5b0be6cd4070e8c4b887b5b824d0a.jpg
https://www.zoopla.co.uk//for-sale/details/54777845,"£450,000",NA,1,1,NA,"Hatherley Court, Hatherley Grove, Bayswater W2",17th Apr 2020,"Offering a bright and spacious interior with a separate kitchen and bathroom, this fantastic studio flat is ideally located just off Westbourne Grove. Hatherley Court is located moments from many upmarket amenities within Bayswater (truncated)",Studio for sale,https://lid.zoocdn.com/354/255/8363440782930a8ab3825737818a51bf308427ed.jpg
https://www.zoopla.co.uk//for-sale/details/52487409,"£160,000",NA,1,1,31 sq. m*,"Waddon New Road, Croydon CR0",17th Apr 2020,"Great value ground floor purpose built studio flat on the edge of the Old Town, just a short stroll from the town centre, within easy reach of Tramlink & a choice of stations. Entrance lobby, large studio room with fold-down bed, separate kitchen, ...",Studio for sale,https://lid.zoocdn.com/354/255/911a50284000fc7a0378facac0a1ee4b29672151.jpg
https://www.zoopla.co.uk//for-sale/details/54777820,"£450,000",1,1,1,NA,"Aland Court, Canada Water SE16",17th Apr 2020,Occupying a choice corner location with phenomenal views of Greenland Dock and the Thames. Offered to the market chain free and presented in fantastic condition. If you are looking for a wonderfully bright and spacious one bed in a calm and sought ...,1 bed flat for sale,https://lid.zoocdn.com/354/255/007eabf9a308ac2910a2cd79254b9500e6732ea7.jpg
https://www.zoopla.co.uk//for-sale/details/54777775,"£300,000",1,1,1,NA,"67 Harold Road, Crystal Palace SE19",17th Apr 2020,"This charming one bed flat is on the first floor of an imposing detached Victorian building, located on a quiet and popular road in Crystal Palace. Upon arrival you are struck by the grandeur of the building; inside you will notice the communal areas ...",1 bed flat for sale,https://lid.zoocdn.com/354/255/af29e7383c1bf9678e5824b6928c710c7f905524.jpg
https://www.zoopla.co.uk//for-sale/details/54777728,"£399,950",2,1,1,NA,"Hutton Grove, London N12",17th Apr 2020,"* chain free* ideal first time buy * A 1st floor 2 bedroom apartment, conveniently situated close to North Finchley High Road and within a stone's throw to local amenities nd transport facilities. The property benefits from *2 bedrooms * kitchen * ...",2 bed flat for sale,https://lid.zoocdn.com/354/255/cd97fffbe310d64cb1b335ecc1c781950cc82b24.jpg
